날짜,팀,선수명,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,page_id,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,연도,home_stadium,FinalPF,wOBA,wRAA,wRC+,stint_id,ST,SB,CS,병살상황,병살비율,희생번트 성공,희생번트 실패,희번성공 비율
2025-10-04,KIA,윤도현,17,24,160,149,41,8,1,36,7,2,6,2,0,1,0,0,3638750,26,70,111,0.275167785,0.316455696,0.469798658,0.786254354,0.041287911,0.194630872,0.225,0.05,0.222222222,0.327102804,0.248322148,26.66666667,24.83333333,0.259854728,19.46745562,4.735327043,34.482,0.711711712,2025,광주,0.998740259,0.353611544,2.209254448,111.4746285,,3,2,1,31,3.2,2,0,100
2025-10-04,KIA,이창진,9,11,113,93,15,16,2,22,3,0,1,1,1,2,0,0,1593128,11,21,82,0.161290323,0.294642857,0.225806452,0.520449309,0.133352535,0.064516129,0.194690265,0.14159292,0.727272727,0.197183099,0.23655914,113,93,0.189040899,4.648854962,1.530720536,17.774,0.475609756,2025,광주,0.998740259,0.263933328,-6.501575792,52.83711867,,2,0,2,15,13.3,1,1,50
2025-10-04,KIA,정해원,0,5,46,40,3,5,1,14,0,0,0,0,0,4,0,0,4079732,3,3,41,0.075,0.195652174,0.075,0.270652174,0.120652174,0,0.304347826,0.108695652,0.357142857,0.115384615,0.125,0,0,0.106793478,0.288461538,0.189962477,2.758,0.219512195,2025,광주,0.998740259,0.157332795,-6.547759767,-16.86531367,,0,0,0,13,30.8,0,0,0
2025-10-04,KIA,정현창,0,4,21,19,5,2,0,5,0,0,0,0,0,0,0,0,4063300,5,5,14,0.263157895,0.333333333,0.263157895,0.596491228,0.070175439,0,0.238095238,0.095238095,0.4,0.357142857,0.105263158,0,0,0.215789474,1.52173913,2.934782609,3.5,0.5,2025,광주,0.998740259,0.291625246,-0.745618409,70.58431842,1,1,0,1,2,0,0,0,0
2025-10-04,KIA,주효상,1,1,17,15,5,2,0,4,2,0,0,0,0,0,0,0,1524652,3,7,10,0.333333333,0.411764706,0.466666667,0.878431373,0.078431373,0.133333333,0.235294118,0.117647059,0.5,0.454545455,0.266666667,0,0,0.301960784,2.578947368,6.963157895,3.768,0.9,2025,광주,0.998740259,0.404607124,0.924419265,144.8188891,,0,0,0,5,0,0,1,0
2025-10-04,KIA,최정용,0,0,6,6,1,0,0,2,0,0,0,0,0,1,0,0,1588097,1,1,6,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0.333333333,0,0,0.25,0,0,0,0.116666667,0,0,0.204,0.166666667,2025,광주,0.998740259,0.155090369,-0.864759457,-18.33155952,,0,0,0,1,100,0,0,0
2025-10-04,KIA,최형우,86,74,549,469,144,67,8,98,30,1,24,0,5,9,0,8,223389,89,248,339,0.307036247,0.398907104,0.528784648,0.927691752,0.091870856,0.221748401,0.178506375,0.122040073,0.683673469,0.340909091,0.364605544,22.875,19.54166667,0.311704359,81.47435897,6.489108237,135.826,0.95280236,2025,광주,0.998740259,0.413203637,33.60791256,150.4398541,,1,1,0,116,7.8,0,0,0
2025-10-04,KIA,한승택,0,3,23,21,5,1,1,7,1,0,0,0,0,1,0,0,912207,4,6,17,0.238095238,0.304347826,0.285714286,0.590062112,0.066252588,0.047619048,0.304347826,0.043478261,0.142857143,0.357142857,0.095238095,0,0,0.208385093,1.44,2.287058824,3.154,0.470588235,2025,광주,0.998740259,0.284028272,-0.955637247,65.97651345,,0,0,0,8,12.5,0,1,0
2025-10-04,KIA,한준수,26,33,276,244,55,26,3,48,12,1,7,0,3,4,0,1,1797505,35,90,196,0.225409836,0.304347826,0.368852459,0.673200285,0.07893799,0.143442623,0.173913043,0.094202899,0.541666667,0.25,0.25,39.42857143,34.85714286,0.229169636,22.72131148,3.129976581,54.646,0.607142857,2025,광주,0.998740259,0.310087395,-5.745766042,83.01568005,,0,0,0,54,7.4,0,0,0
2025-10-04,KIA,황대인,8,3,57,53,10,3,0,14,3,0,1,0,1,0,0,0,1146337,6,16,44,0.188679245,0.228070175,0.301886792,0.529956968,0.03939093,0.113207547,0.245614035,0.052631579,0.214285714,0.230769231,0.169811321,57,53,0.178103277,3.2,1.963636364,9.228,0.431818182,2025,광주,0.998740259,0.242268932,-4.26196279,38.67151306,,0,0,0,11,0,0,0,0
2025-10-04,KT,강민성,1,0,36,30,1,5,0,15,0,0,0,0,1,1,0,0,3624657,1,1,31,0.033333333,0.166666667,0.033333333,0.2,0.133333333,0,0.416666667,0.138888889,0.333333333,0.0625,0.166666667,0,0,0.083333333,0.097560976,0.084972463,1.99,0.193548387,2025,수원,1.028768231,0.128030277,-5.963556744,-39.0280224,,0,0,0,8,12.5,0,0,0
2025-10-04,KT,강백호,61,41,369,321,85,44,3,64,18,1,15,0,1,9,0,3,1882039,51,150,246,0.264797508,0.357723577,0.46728972,0.825013297,0.092926069,0.202492212,0.173441734,0.119241192,0.6875,0.288065844,0.339563863,24.6,21.4,0.27779804,43.99038462,4.828212946,83.058,0.800813008,2025,수원,1.028768231,0.373082408,10.8109522,121.203161,,6,2,4,80,11.3,0,0,0
2025-10-04,KT,강현우,8,5,78,64,12,10,0,14,1,0,1,3,1,1,0,0,2698085,10,16,57,0.1875,0.293333333,0.25,0.543333333,0.105833333,0.0625,0.179487179,0.128205128,0.714285714,0.22,0.21875,78,64,0.1945,3.090909091,1.464114833,12.728,0.456140351,2025,수원,1.028768231,0.267549193,-4.263437187,52.19861172,,0,0,0,14,7.1,3,0,100
